Serial No.,Name of the Apartment,Coordinates x,coordinates y
130,Ashreen Apt Maladi Hose Road,12.889221,74.842410
132,Asta Lake Side Morgans Gate Road,12.847265,74.849019
133,Aster Park Bejai Kapikad Road,12.893393,74.841341
135,Atlantis Bendoorwell Mangalore,12.872792,74.857017
136,Attavara Palace B Block J.V Rouch 2Nd Cross Road,12.861554,74.849832
138,Auram Kadri Kambula,12.880988,74.848410
139,"Aureus, Vaslane, Mangaluru",12.869584,74.854272
142,Ave Maria Apt Bhjagini Sampage Road,12.849570,74.850326
144,"Balaleela Castle, Kodialguthu, Mangaluru",12.881699,74.841036
145,Balasamia Apt Padavu Hihg School Road,12.892839,74.858201
146,Baseri Residency Bhaginin Samaj Road,12.851743,74.844049
147,"Bearys Valencia, Valencia, Mangaluru",12.860181,74.855564
148,Beetle Residency Nagakannika Temple Road,12.905211,74.854163
149,Bella Vista Kadri,12.899394,74.852789
150,Bellisima Kadri Market Road,12.880033,74.856807
155,"Bhandary Heights ,Near Infosys Kottara(H)",12.908168,74.836633
156,"Bhandary Solitaire,Kadri Temple Road",12.880784,74.855148
157,Bhandary Vijaya Enclave Ware House Road,12.881968,74.835539
158,"Bharath Apartment,Boloor Village,Mangalore(New)",12.898551,74.832282
159,"Bharath Mall, Mangaluru",12.886306,74.840811
161,"Bharathi Greens 2. Residential (New Clusters) Derebail, Mangaluru",12.907088,74.841870
163,"Bharathi Residency, Anegundi Road, Bejai, Mangaluru",12.891175,74.843233
164,"Bharghavi Gloria Residency ,Balebail Road ,N.H 17",12.896641,74.848663
165,"Bharthi West Winds, Urwa Store, Mangaluru",12.900216,74.830919
167,"Bhoomi'S Fern Apt,Matadakani Main Road(New)",12.887382,74.829394
168,Bhoomi'S Samrudi ;Yekuru Fisheres Collage Road(New),12.855369,74.869921
169,"Binaca Apartment ,Bejai Church Road Ksrtc Busstand",12.885965,74.845182
170,"Binary Homes, Kottara Daddalakad Road",12.904077,74.838694
171,"Birwa Complex,Temple Road,Alake",12.874846,74.833952
172,"Blue Berry Platinium Apartment,Derebail,Mangalore(New)",12.902977,74.846001
173,"Blue Birds Mannor ,Silvas Gates Road",12.862911,74.855844
174,"Blue Haven, Falnir, Mangaluru",12.864999,74.852536
176,"Bolar Enclave,Opposite Of Sbi",12.847779,74.847468
177,"Bon Grace ,Nanthoor,Kulshekara Road",12.884847,74.864801
178,"Bon View Towers,Kadri Road (1997)",12.880881,74.858969
179,"Bridge Square ,Bendore Bridge Road",12.873871,74.850402
180,"Brigade Pinnacle ,Derebail Church ,Mangalore.",12.905246,74.846281
181,"Brighton Manaor,Balmata Road(1997)",12.868768,74.845100
183,"Brook Side ,Mukyaprana Temple Road",12.843893,74.852225
184,"Brookfileds, Kadri, Mangaluru",12.871960,74.859389
185,"Brookside,Morgansgate Road ,Mangalore",12.843876,74.852173
186,"C.P.C 80Th Jublee Building,Bibi Alabi 1St Cross Road,Azizuddin Road To Kalikamba Temple Road",12.869266,74.833951
187,"Calassique Gateway,Kankaanady Byepass Road",12.869924,74.863107
190,"Canara Homes,Airport Road(1995)",12.903666,74.861891
191,Canopy Near Urwa Store,12.900814,74.835007
192,"Capital (R ) Kadri, Mangaluru",12.881678,74.861868
193,"Capital Avenue ,Near D.C Office (C)",12.861144,74.836493
194,"Carissa Residential Apartment,Kankanady Road",12.864740,74.862324
195,"Casa Grande ,Sturrock Road",12.863525,74.847360
197,"Casa Lavina,Kankanady Market Road",12.868655,74.853945
199,"Casa Royale,Lady Hill 3Rd Cross Road(New)",12.888837,74.837766
202,"Castle ,Kadri",12.878881,74.858763
203,"Catalonia II Kulshekar, Mangaluru",12.884553,74.876979
204,"Catalonia Kulshekar, Mangaluru",12.884515,74.876928
205,"Celeste, Mecara Hill, Mangaluru",12.877444,74.858726
206,"Celina Hights ,Kottara Daddalakad Road,Derebail",12.904696,74.837851
208,"Chabus Garden ,Bokkapatna Cross Road",12.880243,74.830079
209,"Chabus Garden,Kodikal Main Road",12.880214,74.830109
210,"Chaithanya Apartment,Mannugudda New Cross Road",12.876689,74.834715
212,"Charma Enclave ,Bejai New Road",12.891934,74.848668
214,"Chilimbi Heights,Ashok Nagara School Road",12.891255,74.836264
215,"Chirag'S Occan Pearl,Residential Apts Ashok Nagar Urwa Store",12.894987,74.830331
219,"Cilsan ,Ashoke Tile Factory Road",12.887666,74.847256
220,"Citadel Aurum,Mallikatte",12.880509,74.848301
